# [{'FAQ_TP': 'object'}, {'FAQ_SEQNO': 'float64'}, {'FAQ_TP_NAME': 'object'}, {'LCODE': 'float64'}, {'LCODE_NAME': 'object'}, {'QUEST': 'object'}, {'UPDATE_YMDHMS': 'float64'}, {'UPDATE_YMD': 'datetime64[ns]'}, {'ANSWER': 'object'}] 
FAQ_TP,FAQ_SEQNO,FAQ_TP_NAME,LCODE,LCODE_NAME,QUEST,UPDATE_YMDHMS,UPDATE_YMD,ANSWER
F,289427.0,FAQ,22214327.0,일반공공행정,[시ㆍ구정외 타기관 관련 상담] 고용노동부 [일자리 안정자금],20190522102043.0,2019-05-22 10:20:43,"■ 최저임금 해결사 일자리 안정자금

 ○ 정부(고용노동부)에서 &quot;일자리 안정자금&quot;을 최저임금 인상으로 부담커진 소상공인. 영세사업주에 지원

  ※ 처리구분 및 상담유형 : [유관기관] - [노동부(고용/근로)]





　



구분



설명





　



신청시기



 연 1회 (2018년 1월 1일~12월 31일)

 ※ 사업시행일 이후 연중 1회 신청으로 최초 지원대상월부터 18년말 임금지급월까지 지급 (신청월 이후 매월 자동 지급)





　



대상자



지원대상



 ○ 노동자를 30인 미만으로 고용하는 모든 사업(주)에 대해 지원

  ※ [예외] 공동주택 경비.청소원에 대해서는 30인 이상 사업주도 지원





　



지원제외



 소득 사업주(과세소득 5억 초과), 임금체불 명단 공개 사업주, 국가 등 공공부문, 국가 등으로부터 인건비 재정지원 받고 있는 사업주 등





　



지원요건



 ○ 신청일 이전 1개월 이상 고용이 유지된 월 보수액 210만원 미만 노동자

 ○ 최저임금 준수 및 고용보험 가입 원칙

 ○ 기존 노동자 임금(보수) 수준 저하 금지 및 고용유지 의무





　



접수처



온라인



  근로복지공단 고용.산재토탈서비스 (http://total.kcomwel.or.kr)





　



팩스.방문



  근로복지공단 관할지사





　



지원금액



 노동자 1인당 월 13만원 (단, 주 40시간 미만 근로자는 근로시간 비례 지급)



  ※ 5인미만 사업장 월15만원 지원





　



지급방식



지급시기



 매월 10, 20, 30일 중에서 사업주가 선택한 지급희망일자에 지급

 ※ 최초분(지급희망월~신청월 전월분) 지급 : 지급결정일로부터 최대 3일내 지급하되, 불가피한 사유가 없을 경우 신속히 즉시 지급





　



지급방식



 ○ 직접 지급 or 사회보험료 대납 방식 선택 가능

  - 직접 지급 : 개인은 개인 사업주, 법인은 법인, 공동주택 경비.청소원은 입주자대표회의 통장으로 입금

  - 사회보험료 대납 : 건강보험공단에서 사업장별 4대보험 월별 고지금액에 따라 안분하여 대납처리





　



문의처



 ○ 공식홈페이지 : 일자리안정자금 홈페이지 (http://www.jobfunds.or.kr)

 ○ 근로복지공단 1588-0075

 ○ 고용센터 1350"
F,289434.0,FAQ,22214061.0,문화와여가,서대문문화체육회관 FAQ,20190816162025.0,2019-08-16 16:20:25,"？？





주요 질의사항



답 변 사 항





강좌 신청방법은?



방문 신청과 인터넷 신청(기존회원 접수기간 제외)이 가능하며, 방문 신청의 경우 2층 안내데스크에서 접수받으며, 현금 및 카드결제가 가능합니다.





온라인 접수 방법이 있나요?



서대문문화체육회관 홈페이지(www.sscmc.or.kr)에서 회원 가입하시고 온라인접수 진행 후 진행절차에 따라 접수 하시면 됩니다.





신용카드 결제가 가능한가요?



문화·체육강좌 인터넷 접수의 경우 카드결제만 가능하며, 방문 시 카드/현금결제 모두 가능합니다. 여성센터는 인터넷접수는 무통장 입금만 가능하며 방문접수는 카드 결제 가능합니다.





문화강좌 개강일은 어떻게



되나요?



문화강좌는 3개월 단위로 운영되며 매년 3월, 6월, 9월, 12월



첫째 주에 개강합니다.





문화강좌 신청기간은 어떻게 



되나요?



* 기존회원 : 2월, 5월, 8월, 11월 둘째 주에 신청을 받으며, 기존회원은 문자안내 및 홈페이지에 사전공지합니다.



* 신규회원 : 2월, 5월, 8월, 11월 중순에 신청을 받으며, 구체적인 



 일정은 당월 첫째 주 홈페이지를 통해 공지합니다.





문화강좌 환불방법은?



환불은 개강일 이전에는 전액 환불되며, 개강일 이후에는 환불사유 발생 월의 수강료를 공제한 후 환불하여 드립니다. 단 환불은 반드시 방문하셔서 신청하셔야 합니다.





체육 강좌 접수기간은



어떻게 되나요?



체육 강좌 접수기간은 기존회원 매월 18~24일, 신규 회원은 매월 25~말일까지(공휴일일 경우 그 전날까지)이며 07:00~20:00까지 접수 가능합니다.



2개월 프로그램 등 월 단위 프로그램이 아닌 경우는 홈페이지를 참고하시거나 유선으로 문의주시기 바랍니다.





체육 강좌 이용기간은 



어떻게 되나요?



체육 강좌는 매월 1일~말일까지 1개월 단위운영을 원칙으로 하고 있습니다. 다만 방학특강 등의 특별운영 프로그램은 운영기간을 따로 안내하오니 참고하시기 바랍니다.





체육 강좌 접수방법은



어떻게 되나요?



체육 강좌 접수방법은 온라인과 오프라인 2가지 방법이 있으며 접수기간 내에 직접 방문하시면 프로그램과 접수방법을 상세히 안내하여 드리겠습니다.



온라인 접수 시에는 공단 홈페이지 내에서 신청이 가능하며 회원가입이 되어 있으셔야 합니다. 





체육 강좌 연기, 환불 신청방법은 어떻게 되나요?



체육 강좌 연기를 원하시는 경우에는 그에 맞는 사유(병원치료, 출장 등)가 있어야 하며 증빙 가능서류를 첨부하여 연기신청서를 작성해 주셔야 합니다.



연기는 사유에 따라 1개월 단위로 최장 3개월까지 가능합니다. 환불을 원하시는 경우 신청자 확인이 가능한 신분증과 입금 받으실 계좌번호를 지참하시어 환불신청서를 작성해 주셔야 합니다.



환불 신청 시 개강일 전 전액 환불, 개강일 이후에는 총 이용요금의 10% 공제 후 일할 계산되어 환불됩니다.





할인제도는 어떻게 되나요?



할인제도는 서대문구 조례에 의거하여 진행하고 있으며 경로 할인, 다둥이 할인, 가임여성 할인 등 다양한 할인제도가 운영되고 있으니 할인율과 대상 등 궁금하신 사항은 홈페이지를 참고하시거나 유선 문의하여 주시기 바랍니다.









？？？





주요 질의사항



답 변 사 항





서대문문화체육회관 문화시설 대관 신청 및 이용방법은 어떻게 되나요?



서대문문화체육회관 주요시설물의 대관은 관련규정에 의거 대관료를 받고 있습니다. 대.."
F,289435.0,FAQ,22214061.0,문화와여가,서대문구립인조잔디구장 FAQ,20190816162025.0,2019-08-16 16:20:25,"？？





주요 질의사항



답 변 사 항





인조잔디구장 위치는



어떻게 되나요?



인조잔디구장은 서대문문화체육회관 뒤편 구 백련배수지에 위치하고 있습니다. 





인조잔디구장 예약은



어떤 식으로 해야 하나요?



- 인조잔디구장 사용 예약은 추첨을 통해 이루어집니다.



- 추첨에 참가하기 위해서는 몇 가지 조건이 있으며, 그 조건은



 다음과 같습니다.



- 첫째 22명 이상의 팀원으로 구성된 팀 중 절반 이상(11명)이 서대문 구민이어야 하며, 홈페이지에 첨부된 등록서를 제출하셔서 팀 등록을 마치셔야 합니다.



- 둘째 팀 등록을 마친 팀은 짝수 달 마지막 목요일 19:00에 문화체육회관 2층 소극장에서 추첨을 통하여 다음 두 달간의 일정이 예약됩니다.





인조잔디구장 사용료는



얼마입니까?



인조잔디구장 사용료는 평일(2시간) 60,500원이며 공휴일은 30%가



가산된 78,650원입니다. 





조명사용료는 얼마입니까?



일출？일몰 시간에 맞춰 조명사용을 하며 30분당 5,250원이 부과 됩니다. 





예약현황은 어떻게 알 수



있나요?



서대문구도시관리공단 인조잔디구장 홈페이지 (https://www.sscmc.or.kr/culture1/grass/grass_list.asp)에 인조잔디구장 예약 현황을 엑셀파일로 실시간 업데이트하고 있으니, 참고하시기 바랍니다.





주차장 운영시간 및



주차요금은 어떻게 되나요?



주차장 운영시간은 평일 09:00 ~ 18:00이며, 주차요금은 30분당



1,000원의 주차요금을 징수하고 있습니다. 단, 운영시간 이외 및



토？일요일(공휴일 포함)은 무료주차입니다.



평일 잔디구장 사용 2시간당 5대 무료주차 혜택을 제공합니다.





？？"
F,289436.0,FAQ,22214061.0,문화와여가,궁동체육관 FAQ,20190816162014.0,2019-08-16 16:20:14,"？？





주요 질의사항



답 변 사 항





궁동체육관 개관일은



어떻게 되나요?



궁동 체육관은 매년 1월1일(신정), 설 연휴 2일(전날, 당일), 추석 연휴 2일(전날, 당일), 매주 월요일, 기타 부득이한 경우를 제외한 나머지는 모두 개관입니다. 





궁동체육관 이용시간은



어떻게 되나요?



아침 06:00부터 22:00까지입니다.





궁동체육관 강습프로그램은 



어떻게 되나요?



배드민턴 강습 프로그램은 매주 화, 목, 토요일 새벽반, 오전반, 저녁반으로 구성되어 있으며, 새벽반은 06:30~09:30, 오전반은 10:00~13:00 이고 저녁반은 18:30~21:30 까지이며 수,금,일요일은 저녁반 18:30~21:30이며 수강료는 서대문구민 99,600원 타지역구민은 124,000원입니다.





궁동체육관 주차는 어떻게 



되나요?



궁동체육관 주변은 궁동근린공원으로 주차장 확보가 어려우며 체육관 전용주차장 또한 없음을 양해바라며 도보 및 대중교통을 이용하여 주시기 바랍니다. 





궁동체육관 전체 대관은



어떻게 되나요?



궁동체육관은 일일입장권 및 월정기권을 발행하여 사용하고 있고 매일 불특정 다수가 이용하는 체육관으로 기관이나 단체에서 체육관 전체를 대관하는 것은 어려우니 양해바랍니다. 





궁동체육관 이용요금은



어떻게 되나요?



궁동체육관 이용요금은 서대문구민과 타 구민으로 나누어 부과되며 서대문구민 일일입장권은 평일 1,400원, 공휴일 1,800원이며 타구민은 평일 2,200원, 공휴일 2,800원입니다. 월 정기권은 서대문구민 28,000원이며 타구민은 44,000원입니다. 





？？"
F,289437.0,FAQ,22214061.0,문화와여가,홍제배드민턴장 FAQ,20190816162034.0,2019-08-16 16:20:34,"？？





주요 질의사항



답 변 사 항





홍제배드민턴장 개관일은



어떻게 되나요?



홍제배드민턴장은 매년 1월1일(신정), 설 연휴 2일(전날, 당일), 추석 연휴 2일(전날, 당일), 매주 월요일, 기타 부득이한 경우를 제외한 나머지는 모두 개관입니다. 





홍제배드민턴장 이용시간은



어떻게 되나요?



아침 06:00부터 22:00까지입니다. 





홍제배드민턴장 강습프로그램은 어떻게 되나요?



화 목 토반 /수 금 일반으로 이루어져 있습니다 그리고 강습시간은 동일하게 저녁 18:30~21:30분까지 진행합니다.





홍제배드민턴장 주차는 어떻게 되나요?



홍제배드민턴장은 내분순환도로 하부 공간으로써 주차장 확보가 어려우며 체육관 전용주차장 또한 없음을 양해바라며 도보 및 대중교통을 이용하여 주시기 바랍니다. 





홍제배드민턴장 전체 대관은 



어떻게 되나요?



홍제배드민턴장은 일일입장권 및 월정기권을 발행하여 사용하고 있고 매일 불특정 다수가 이용하는 체육관으로 기관이나 단체에서 체육관 전체를 대관하는 것은 어려우니 양해바랍니다. 





홍제배드민턴장 이용요금은



어떻게 되나요?



홍제배드민턴장 이용요금은 서대문구민과 타 구민으로 나누어 부과되며 서대문구민 일일입장권은 평일 1,200원, 공휴일 1,400원이며 타구민은 평일 2,000원, 공휴일 2,400원입니다. 월 정기권은 서대문구민 24,000원이며 타구민은 40,000원입니다. 





？？"
F,289472.0,FAQ,22214153.0,재난과안전,양천생활안전체험교육관,20180213145025.0,2018-02-13 14:50:25,"구분



내용





업무개요



 최첨단 교육 실습 마네킹을 통한 심폐소생술 교육과 화재진압, 연기피난, 완강기 등의 가상 재난 체험, 

 그리고 전기,가스 등 생활시설의 안전한 작동방법을 쉽게 배워볼 수 있는 실습위주의 체험 교육공간 운영





교육 안내



교육대상



 ○ 양천구 주민 또는 구 소재한 직장에 다니는 주민





교육시간



 ▣ 평일 1일 3회(성인 위주로 하되 학교 등 단체 교육 가능) 

   ○ 1회차 오전 10시 ~ 12시

   ○ 2회차 오후 13시 ~ 15시

   ○ 3회차 오후 15시 ~ 17시



 ▣ 주말 주1회(가족단위 교육, 만 6세 이상) 

  ○ 매주 토요일 오전 10시 ~ 12시



 ▣ 야간 월2회(성인위주 교육)

  ○ 둘째, 넷째 목요일 저녁 19시 ~ 21시





교육내용



 심폐소생술 실습교육, 화재진압ㆍ연기피난 체험, 완강기 사용 체험, 전기ㆍ가스사용 실습교육





신청방법



 개인/단체 접수 가능

 ○ 전화 : 02-2620-4397~9

 ○ 인터넷 : 양천구청 홈페이지(http://www.yangcheon.go.kr) → 상단, 생활안전체험교육관 





주의사항



 ○ 만 6세 이상 13세 미만의 청소년의 예약시 반드시 보호자의 등록 필요

 ○ 교육시간 20분이상 늦으시면 입장은 가능하나, 이수증 발급은 불가능

 ○ 예약은 현월부터 3개월까지 가능

 ○ 장애인 체험 교육 시 안전확보를 위해서 1인당 1명의 안전교사가 반드시 동행해야함

 ○ 예약취소는 1일전까지 홈페이지 또는 전화를 통해 하실 수 있도록 안내

 ○ 교육인원이 평일 5명/토요,야간 10명 미만일 경우 교육이 취소 될 수 있음

 ○ 예약 후 취소 없이 불참인 경우 향우 6개월간 예약이 제한될 수 있음

 ○ 사용자의 주차장 사용요금은 별도 징수함

 ○ 중복 교육시 처음 발급 받으셨던 이수증을 가져오실 수 있도록 안내 

 ○ 슬리퍼, 짧은치마, 체험하기 불편한 복장 지양 안내

 ○ 음식물 반입 및 애완동물의 출입 금지

 ○ 임의로 체험시설 작동기기를 만지거나 조작하는 행위 금지

 ○ 운영요권의 정당한 통제에 불응하는 행위 금지

 ○ 기타 다른 이용자의 안전을 위협하는 행위 금지

 ○ 체험관은 금연구역임





문의사항



 ○ 양천생활안전체험교육관 02-2620-4397~9"
F,289473.0,FAQ,22214061.0,문화와여가,금천 나도스타 노래부르기 대회 (어린이날 행사),20190502160033.0,2019-05-02 16:00:33,"▣ [금천구] 제9회 금천 &apos;나도스타&apos; 노래부르기 대회 참가자 모집 안내     ※ 상세사항 홈페이지 참조 : [바로가기]

  ○ 일정

    - 예 선 : 2019. 4. 12.(금) 14시 ~ 18시, 금천구청 12층 대강당

    - 본 선 : 2019. 5. 15.(수) 15시 ~ 17시30분, 금나래아트홀

   ○ 모집기간 : 2019. 3. 11.(월) ~ 3. 29.(금) 18:00시까지

   ○ 대 상 자 : 금천구에 거주하는 만 5세 이상 ~ 19세 미만의 아동·청소년

  ○ 모집부문

    - 미취학부문 : 독창, 중합창 나누지 않음

    - 초등 독창 : 2개 부문[저학년(1~3학년)/고학년(4학년~6학년)]

    - 초등 중·합창 : 1개 부문(저/고학년 나누지 않음)

    - 중고등부문 : 독창, 중합창 나누지 않음

  ○ 제출서류 : 신청서 및 악보(반주보) 제출

  ○ 제출방법 : 이메일(park4254@geumcheon.go.kr) 또는 방문 제출(금천구청 7층 아동청년과)

  ○ 문의 : 금천구청 교육지원과(02-2627-2843)"
F,289492.0,FAQ,22214061.0,문화와여가,브라보 서초문화버스 (셔틀버스) 운행,20181128120932.0,2018-11-28 12:09:32,"▣ 업무개요



교통취약지역과 관내 문화시설을 연계하여 이용하는 서초구민의 편의를 제공하고자 Bravo 서초문화버스 (셔틀버스) 운행



？



▣ 브라보 서초문화버스 운행 개요 (2018.2.22 운행개시) 



？



○ 운영시간 : 매주 월~금 09:00~18:00 (점심시간 제외) 



                   ※ 토, 일, 공휴일 휴무



○ 탑승대상 : 관내 문화시설 및 동 문화프로그램 이용자



○ 이용방법 : 탑승시 접수증, 수강증, 도서관 회원카드, 대출증, 행사안내 문자 등 제시 必



○ 운영노선 및 운행시간 안내 : 서초구청 홈페이지 참조



http://www.seocho.go.kr/site/seocho/04/10412060000002018040209.jsp



？



▣ 문의 : 서초문화원 02-2058-1204"
F,289612.0,FAQ,22214339.0,지역개발,마곡산업단지 내 문화시설 건립,20180910131534.0,2018-09-10 13:15:34,"업무개요



 마곡산업단지 내 문화시설 건립





 업무설명



 ○ 추진목적 : 문화시설 확충을 통한 창의적 연구환경 제공



 ○ 추진방법 : 입주기업 공공기여를 통한 민간자본 활용



 ○ 사업내용



  ① (가칭)LG아트센터 및 사이언스 홀



  - 서울식물원 내 연면적 3만5천㎡ 규모의 대규모 공연장 설치(1,100억원 규모)



  - 대극장 1,300석, 소극장 400석, 과학체험시설 설치



  - 인근에 위치한 코오롱 미술관과 연계한 다채로운 볼거리 및 즐길거리 제공



  - 준공 : ’20년 하반기



 ② 스페이스 K 서울(코오롱 미술관)



  - 산업단지 문화공원 2호 내 연면적 1,900㎡규모의 미술관 건립(70억원 규모)



  - 작품전시실, 주민커뮤니티 공간, 휴게공간 설치



  - 입주기업 근로자 개인전, 동호회 작품전 등 이벤트 개최 검토



  - 준공 : ’19년 하반기



 ※ 준공 후 운영은 문화본부 협조





 위치 및 주소



 -





 주의사항·특이사항



 -"
F,289648.0,FAQ,22214328.0,농림해양수산,서울반려동물교육센터,20190408175105.0,2019-04-08 17:51:05,"교육



주제



일시



횟수 및 모집인원



접수방법



장소





반려동물 돌봄문화



시민학교(반려견)







 - 반려동물과 함께 살기위한 준비



 - 반려동물의 생태적 특징 및 언어 이해



 - 반려동물의 생애주기에 따른 건강관리법



 - 반려동물의 행동풍부화, 장난감 만들기



- 매주 목요일 20:00~21:40



- 매주 토요일 13:00~14:40



 - 16기(기수별 4회)



 - 기수별 시민 30명



동물권행동카라 홈페이지 



(https://www.ekara.org/)



서울반려동물



교육센터





반려동물 돌봄문화



시민학교(반려묘)



- 매주 화요일 20:00~21:40



 - 8기(기수별 4회)



 - 기수별 시민 30명





반려동물 행동 교육



(사회화 및 기본 예정교육)



 - 반려견 사회화 개념



 - 사람, 동물, 환경, 상황에 대한 사회화



 - 매주 수요일 20:00~21:40



 - 8기(기수별 4회)



 - 기수별 시민 30명





반려동물 행동 교육



(행동 문제 교정 심화반)



 - 반려견 기본 매너 교육



 - 분리불안 행동 교육



 - 흥분, 짖음 등 과도한 반응 교육



 - 신체 접촉 두려움 완화 교육



- 매주 목요일 16:00~17:40- 매주 토요일 15:30~17:10



 - 12기(4개 주제별 3기, 기수별 5회)



 - 기수별 6~7팀



※ 6개월 이상 반려견, 보호자





미취학아동 동물보호 교육



 - 동물보호원칙, 생명존중, 동물등록,



    돌봄예절, 동물학대, 안전



접수 후 조정



 - 미취학아동(만 5~6세), 4,000명



 ※ 4/10~5/31일까지 선착순



-서울시 



공공서비스예약 시스템



 (http://yeyak.seoul.go.kr/)



유치원.어린이집



(전문강사 방문)





주소 및 위치



 - 구로구 경인로 472(구로동) 지하철 1호선 구일역 1번출구 도보 5분  ※  주차협조 : 롯데마트 구로점 주차장 이용가능





문의처



 - 서울반려동물교육센터 02-2133-7656, 02-2656-7649



 - 동물권행동 카라 02-3482-0999



 - 서울시 동물보호과 02-2133-7656"
