번호,제목,생산일,조회수,내용번호
1,폐기대상 문서의 폐기는 어떻게 하나요?,2007-01-07,423,19431143
2,자동차검사장을 지정받고자 하는데 어떻게 해야 하나요?,2007-01-07,445,2898293
3,수돗물의 톤당 원가는?,2007-01-07,485,19353862
4,제가 휠체어를 사용하여야 하는 장애인인데 교육원에서 교육을 받을 수 있나요?,2007-01-07,504,2894409
5,홈페이지를 구축해서 운영을 하려고 하는데 서버를 어떻게 사용할 수 있나요?,2007-01-07,504,2894434
6,지적재조사사업은 언제부터 시작하나요?,2007-01-07,505,2895317
7,가축전염병비발생확인서 증명은 어떻게 받을 수 있나요?,2007-01-07,505,2895723
8,도로시설물 유지관리제 이행실태점검을 실시하는 근거는 무엇인가요?,2007-01-07,506,2894429
9,이행강제금관리시스템은 어떤 시스템인가요,2007-01-07,506,2894374
10,일반인도 공무원교육원의 식당을 이용할 수 있나요?,2007-01-07,507,2896343
11,불용품을 양여받을 수 있는 기관은?,2007-01-07,507,2894254
12,농산물소득분석 자료를 열람하고자 하는데 가능한가요?,2007-01-07,508,2896820
13,농업기술센터에서 농업기계 훈련을 받고 싶은데 어떻게 하면 되나요 ?,2007-01-07,508,2895719
14,귀사업소 재산을 허가없이 일시점유시 변상금은 어떻게 부과되나요?,2007-01-07,508,2894602
15,청계천을 활용한 기념품을 개발하기 위해서 서울시의 승인이 필요하나요?(기념품 개발절차),2007-01-07,508,2895264
16,이미 지정된 재정비촉진지구의 인접지를 추가 확장하고 싶은데 어떻게 해야 하나요?,2007-01-07,508,2894353
17,지적측량 결과에 궁금한 사항이 있는 경우 어떻게 해야 하나요?,2007-01-07,508,2896919
18,서울시내 어린이 교통공원 이용문의,2007-01-07,508,2896916
19,서울시에서는 어떤 관종으로 상수도공사를 하나요?,2007-01-07,508,19311858
20,농업기술센터에서 보관하는 농업기술 책자나 영상자료를 활용할 수 있나요?,2007-01-07,509,2895720
21,농업 재해 시 지원 내용 은 ?,2007-01-07,509,2895717
22,다이옥신 분석 의뢰시 어떤 절차가 필요한가요?,2007-01-07,510,2894822
23,인터넷 사이트에서 수강신청을 1회했으나 2회 수강료가 결재되었는데 어떻게 해야 하나요?,2007-01-07,522,2894403
24,서울채소도 안전하게 먹을 수 있나요 ?,2007-01-07,524,2895722
25,전자문서시스템의 양식관리는 어떻게 유지되나요,2007-01-07,535,2895010
26,상용 소프트웨어 설치는 어떻게 합니까?,2007-01-07,540,2895570
27,수기납부서 발급프로그램으로 발급할수 있는 신고분 세목은 무엇인가요?,2007-01-07,543,2894881
28,서울시 건축설계경기 응모자격은 어떻게 되는지요?,2007-01-07,550,2894180
29,[특별분양] 입주권도 정상 매매가 가능한가요?,2007-01-07,555,2895554
30,서울시의 물가 모니터는 어떻게 뽑나요?,2007-01-07,562,2895632
31,조경공사의 용역발주 및 설계심의 대상사업은 무엇인가요?,2007-01-07,566,2896666
32,응봉교를 통행할 때 흔들림이 있어 불안한데 괜찮나요?,2007-01-07,576,2896493
33,서명이 있는 민원서류 접수(서명민원접수),2007-01-07,650,2894855
34,어린이집의 운영시간 및 어린이집 현황,2007-01-07,653,19699585
35,체육시설관리시스템은 어떤 시스템인가요?,2007-01-07,683,2895573
36,서울시 급여시스템에서 처리되는 보수는 무엇인가요?,2007-01-07,718,2896573
37,농업기술센터는 무엇을 하는곳입니까?,2007-01-07,778,2895718
38,도시가스공급규정게재 사이트는 어디인가요?,2007-01-07,795,2897720
39,창의시정은 무엇인가요?,2007-01-07,795,2897622
40,지역개발채권의 원금 및 이자는 언제 받을 수 있습니까?,2007-01-07,798,2898220
41,지역개발채권을 되팔려고 하는데 어떻게 하면 될까요?,2007-01-07,847,2898223
42,인터넷 경매사이트에 구입한 유명 상표의류(진품으로표시)가 가짜인 경우는?,2007-01-07,886,2896338
43,서울시 교육지원과 시교육청의 업무차이는 무엇인가요?,2007-01-07,893,2895450
44,[어린이집 운영] 운영비 지원시 영아반 정원 및 반수 제한,2007-01-07,924,2898058
45,언론담당관은 시민소통담당관( 구 홍보담당관) 업무와 어떻게 다른가요?,2007-01-07,938,2895579
46,공사현장의 경고 의무 부주의로 인한 피해보상 절차는?,2007-01-07,940,2894428
47,국비 반납절차는 어떻게 되나요?,2007-01-07,942,2896972
48,승차 또는 하차단말기가 고장이 난 경우는?,2007-01-07,976,2896646
49,토지분할로 지하철 5호선이 지나가지 않는 간에 구분지상권을 해제할 수 있나요?,2007-01-07,1023,2894174
50,명예공중위생감시원의 자격과 업무는?,2007-01-07,1070,2898565
51,지정문화재에 대한 보호방법은 무엇인가요?,2007-01-07,1071,2896582
52,농업기술센터 토양검정을 의뢰하려면 어떻게 해야 하나요?,2007-01-07,1093,2895721
53,개인택시면허(모범택시면허)전환신청 및 전환신청후 운송사업재개 관련,2007-01-07,1129,2896659
54,공공건축물 설계용역 발주심의 대상은 어떻게 되는지요?,2007-01-07,1185,2895503
55,지적측량시 인접 토지소유자 및 이해관계인 입회는 어떻게 해야 하나요?,2007-01-07,1215,2896914
56,[시립대학교] 외부인 출입,2007-01-07,1249,2894433
57,서울시 민간위탁 현황은?,2007-01-07,1298,2895636
58,학교우유급식 무상지급 대상은?,2007-01-07,1399,2895783
59,지방채란 무엇인가요?,2007-01-07,1736,2894151
60,서울을 중국어로 표기하는 방법은 무엇입니까?,2007-01-07,1762,2894478
61,건축공사 설계용역비 산정은 어떻게 합니까?,2007-01-07,1781,2895274
62,단말기에 표시되는 금액이 실제 사용금액인가요?,2007-01-07,1808,2896645
63,서울시내 고가도로의 유지관리 부서는?,2007-01-07,1863,2894716
64,서울시 부채규모는 얼마나 되나요?,2007-01-07,1879,2898410
