번호,제목,생산일,조회수,내용번호,원본시스템,작성자(책임자),관리번호,제공부서,분류,내용
2234,서울시 [우리동네꼼꼼육아정보] 책자 발간,2019-10-23,2275,18955676,다산콜센터,120다산콜재단,D0000038442669,서울특별시 여성가족정책실 아이돌봄담당관,복지,"서울시와 서울시육아종합지원센터는 140여 명의 우리동네 보육반장이 직접 발로 뛰어 수집한 지역 육아정보를 담은 ‘우리동네 꼼꼼 육아정보’ 책자를 자치구마다 1종씩 총 25종 발간하였으며 ‘우리동네 꼼꼼 육아정보’ 책자에는 우리동네 보육반장 소개, 자치구 육아종합지원센터 소개, 생애주기별 육아정보, 대상별 육아정보, 우리동네 육아정보 등이 담겨 있다. 책자는 출생신고를 위해 동주민센터에 방문하는 출산부모에게 우선 전달 될 예정이며, 25개 자치구의 육아종합지원센터, 열린육아방, 공동육아나눔터 등 부모와 아이들이 자주 찾는 곳에 배포할 예정이다.     ※ 인터넷 다운로드 경로  - 서울시 e-book(http://ebook.seoul.go.kr/) 검색창에 ‘우리동네 보육반장’ 혹은 ‘우리동네 꼼꼼 육아정보’ 검색  - 서울시 우리동네 키움포털(http://icare.seoul.go.kr/) 영유아돌봄 〉우리동네보육반장 〉우리동네 꼼꼼 육아정보"
2235,"[성동구] 반려동물 ""무료상담실"" 운영 안내",2020-08-31,1654,21095911,다산콜센터,120다산콜재단,D0000040706778,서울특별시 자치구,경제,"▣ 반려동물 무료상담실_""무엇이든 물어보시개?"" 운영 안내     구분  내용    사업기간    2020년 9월~12월     이용대상   성동구민 누구나(취약계층 우선 배정)    상담일정   매월 첫째, 셋째 금요일 10:00~12:00     이용방법   ○ 사전예약 : 전화 사전 예약 후 방문 상담  ○ 상담시간 : 1인당 15분 이내(약자 수에 따라 조정)    상담분야    반려동물 건강상태, 이상행동, 초기 행동교정 등   - 간단한 육아 진찰, 촉진 등으로 수의학적 부분의 문제해결 방향 제시, 대처방법, 병원 정밀검사 필요 여부,     기존에 잘못 알고 있던 내용 교정   ※ 취약계층 등록의무 대상(2개월령 이상 개)이 미등록된 경우 동물등록 지원    장소    구청 1층 전문상담실"
2236,위드유 서울 직장 성희롱.성폭력 예방센터,2020-09-16,1924,21212235,다산콜센터,120다산콜재단,D0000040829456,서울특별시 여성가족정책실 여성권익담당관,복지,"업무개요   직장 내 성희롱 지원체계 사각지대에 있는 서울 시민이 안전하고 성평등하게 일할 수 있는 환경 조성  민관 협력을 통해 성희롱 예방 및 피해자 지원 체계 강화    업무설명   ▣ 서울 직장 성희롱.성폭력 예방센터(위드유)       구분  내     용    직장 내 성희롱 예방교육   ○ 30인 미만 소규모 사업장 내 성희롱 예방을 위한 맞춤형 교육 무료 지원  ○ 교육내용 : 성희롱의 개념과 원인 이해, 조직 내 성평등 문화 점검,                     성희롱 고충사건의 분쟁해결절차 안내  ○ 신청방법 : 신청서 작성 후 이메일접수(withu@seoulwithu.kr)    사업장 조직문화 컨설팅   ○ 30인 미만 소규모 사업장에 교육/법률 전문가를 무료 매칭하여 조직문화 진단 및 솔루션 제공  ○ 컨설팅내용 : 조직문화 진단, 내부 규정 개선방안 제시  ○ 신청방법 : 신청서 작성 후 이메일접수(withu@seoulwithu.kr)    피해지원 기반강화   ○ 직장 내 성희롱.성폭력 예방 및 피해지원기관과 연대하여 직장 내 성희롱 피해지원의 공백 분야      발굴, 지원  ○ 사업내용    - 기관 및 종사자 역량 강화 : 직장 내 성희롱.성폭력 피해자 법률.동행 지원,                                           성희롱 대응 역량 강화를 위한 워크숍, 사례연구회 지원,                                            직장 내 성희롱 피해지원 정책 발굴 및 협력사업   - 피해지원 기관 네트워크 협의회   - 직장 내 성희롱 정보화 사업     성평등 조직문화 확산   ○ 조직 내 성평등 문화 확산을 위해 사업장 조직문화 개선 및 대시민 홍보,캠페인 진행        관련 DB   여성폭력 상담(여성긴급전화, 아동ㆍ여성폭력피해자 통합지원센터, 폭력피해 이주여성)  [원스톱 지원센터] 성폭력(성폭행), 가정폭력, 성매매, 학교폭력 피해자 지원센터    주의사항/특이사항   ○ 센터위치 : 중구 무교로 21 더익스체인지서울빌딩 3층  ○ 문의처 : 위드유 서울직장성희롱성폭력예방센터 02-771-7770     관련법규   서울특별시 여성폭력방지와 피해자보호 및 지원에 관한 조례"
2237,마포 뇌병변장애인 비전센터,2021-03-12,1625,22477798,다산콜센터,120다산콜재단,D0000042114742,서울특별시 복지정책실 복지기획관 장애인복지정책과,복지,"▣ 마포뇌병변장애인 비전센터 운영     구분  내용    목적   학령기 이후 갈 곳이 없는 중증 뇌병변 장애인의 교육,돌봄,건강 등 맞춤종합서비스 제공     대상자   만18세 이상 ~ 만65세 미만 중증,중복 뇌병변 장애인     이용시간   평일 09:00~18:00 (실 수업시간 10:00~16:00)     이용료   월 280,000원(식비 별도)  ※ 기초생활수급자 무료, 차상위계층 50% 감면(식비 별도)    지원내용   개별 특성 및 욕구를 기반으로 한 교육, 돌봄, 건강 등의 종합서비스     이용방법   이용자 모집 기간에 유선으로 예약 후 내방하여 접수     문의처   마포뇌병변장애인비전센터 02-702-5771 (마포구 신촌로 26길10, 우리마포복지관 2층)     기타사항   상세 문의는 마포뇌병변장애인비전센터로 문의"
2238,[서울산업진흥원] 서울메이드란?,2021-06-29,8168,23194045,다산콜센터,120다산콜재단,D0000042894548,서울산업진흥원,경제,서울의 감성을 담은 다양하고 새로운 경험을 제공하기 위해 만들어진 라이프스타일 플랫폼 브랜드로 서울이 만들고 세계가 함께 쓰는 브랜드 입니다.    - 서울의 감성을 담은 기업과 협업하여 브랜드 상품을 발굴.   - 사용을 원하는 중소기업에게 서울메이드 브랜드 제공 등   -  관련홈페이지 : 서울메이드 (https://seoulmade.com/)  ※ 상세문의사항 : 서울산업진흥원 브랜드전략팀 02-2222-3764
2239,다자녀가정 실내 바닥매트 지원,2021-08-17,1319,25670204,다산콜센터,120다산콜재단,D0000043274644,서울특별시 서초구 주민생활국 여성보육과,복지,"업무개요   다자녀가정 아이들의 안전한 실내 활동과 층간소음 예방을 위해 실내 바닥매트 지원    지원대상   ○ 지원대상 : 서초구에 주민등록을 두고   거주중인 중학생 이하 세자녀이상 모든 가정    ※ 기지원가정 중복신청 불가   ○ 신청자격 : 대상 자녀들의 부, 모 또는 아이들과 거주하고   있는 세대의 세대주    신청시기   상시   신청방법   ○ 온라인 : 서초구청 홈페이지   - 경로 : 서초구청 홈페이지 > 분야별정보  복지   > 영유아복지 > 다자녀가정 실내 바닥매트 지원 신청 [바로가기]   ○ 방문 : 동주민센터, 구 여성보육과 방문     구비서류   대상 자녀들이 모두 등재되어 있는 주민등록등본    지원내용   실내 바닥매트 1개 지원(240x140x4)(cm)  ※ 신청 후 2주내 배송 예정"
2240,하반기 농부의 시장 일정은 어떻게 되나요?,2022-08-29,647,26695536,다산콜센터,120다산콜재단,D0000046114132,대외협력과,경제,"○ 하반기 운영일정             구 분  일 정  9월  10월  11월    1  만리동광장  (1번째 화,수/ 4회)  -  4, 5  1, 2    2  마포구DMC (마포구 상암동 1705)  (2번째 화,수/ 6회)  13, 14  11, 12  8, 9    3  청계광장  (3번째 화,수/ 6회)  20, 21  18, 19  15, 16    4  신영증권  (4번째 화,수/ 6회)  27, 28  25, 26  22, 23    5  뚝섬 한강공원  (4번째 토,일/ 6회)  24, 25  29, 30  26, 27"
2241,핑크퐁 서울공원 대탐험 행사에 참여하려면 예약이 필요한가요?,2022-10-05,48,27097033,다산콜센터,120다산콜재단,D0000046546536,서울특별시 푸른도시여가국 공원여가사업과,행정,"별도 예약이나 신청 절차 없이, 공원에 방문한 누구나 선착순으로 참여가 가능합니다. 단, 이벤트 경품 증정 및 체험 프로그램 참여는 선착순으로 운영됩니다. 준비된 수량 소진 시 조기에 마감될 수 있으니 이용에 참고하시기 바랍니다.  <핑크퐁과 함께하는 서울의 공원 대탐험(약칭: 핑크퐁 서울공원 대탐험) 행사개요> ※ 자세한 사항은 서울의 공원 누리집 새소식 게시판을 참고하세요. 바로가기: 공원소식 > 새소식 (seoul.go.kr)   ★ 행사 일정 안내① 보라매공원 : 10월 5일 ~ 10월 10일 ② 북서울꿈의숲 : 10월 12일 ~ 10월 16일 ③ 서울창포원 : 10월 18일 ~ 10월 23일 ④ 서울숲 : 10월 25일 ~ 10월 30일 ⑤ 영등포공원 : 11월 1일 ~ 11월 6일  ★ 행사 시간 : 매일 11시 ~ 17시  ★ 프로그램 & 이벤트 소개<이벤트> -포토존 인증샷 이벤트- [현장 이벤트] 9M 대형 핑크퐁과 인증 사진을 찍고, 개인 SNS에 필수 해시태그와 함께 업로드하면 현장에서 핑크퐁 모자를 드려요!※ 핑크퐁 모자는 한정수량으로 종합 안내소에서 선착순 지급됩니다.[온라인 이벤트] 현장 이벤트 사진 중 추첨을 통해 10분께 행사 종료 후 아트키트 선물을 드려요! (5개 공원 모두 인증하면 당첨 확률 UP!) ※ 온라인 이벤트 결과는 개별 DM으로 안내드립니다.  <상시프로그램> -공원 스탬프 투어- 서울 공원 구석구석을 탐방해 보는 스탬프 미션! 미션을 모두 완수하면 특별한 선물을 드려요!1개 공원 성공 - 핑크퐁 막대풍선 ※ 핑크퐁 막대풍선은 한정수량으로 현장에서 선착순 지급됩니다. 5개 공원 성공 - 아트키트 (선착순 10명) ※ 해당 상품은 영등포공원 ‘공원 스탬프 투어’ 부스에서 선착순 지급됩니다   <주말프로그램> -내가 만드는 공원- 공원에 따라 달라지는 특화 체험! ·보라매공원: 보라매공원 비행기 키링 만들기 체험 ·북서울꿈의숲: 북서울꿈의숲을 담은 스크래치 보드 체험 ·서울창포원: 서울창포원에서 바라본 도봉산 풍경을 담은 스텐실 체험 ·서울숲: 서울숲 동물친구들과 함께하는 글라스데코 체험 ·영등포공원: 영등포공원 풍경을 담은 수채 페인팅 체험 -보물찾기 미션- 12/14시에 진행되는 깜짝 보물 찾기 시간! 보물을 찾아 퀴즈를 풀면 특별한 선물을 드려요.  -핑크퐁이랑 놀자- 하나! 핑크퐁 판박이 체험 둘! 핑크퐁 사탕 엽서 만들기 체험 셋! 핑크퐁 컬러링 체험  -핑크퐁과 튼튼쌤의 댄스파티- 핑크퐁, 아기상어, 튼튼쌤과 함께하는 신나는 핑크퐁 댄스파티 ※ 북서울꿈의숲, 서울숲에서만 주말 오후 4시에 진행됩니다. ※ 공연시간에는 ‘공원 스탬프 투어’, ‘포토존 인증샷 이벤트’만 운영됩니다."
2242,핑크퐁 서울공원 대탐험 행사는 비가 와도 운영하나요?,2022-10-05,129,27097034,다산콜센터,120다산콜재단,D0000046546537,서울특별시 푸른도시여가국 공원여가사업과,행정,"야외에서 진행되는 행사여서, 비가 많이 오거나 심하게 바람이 부는 등 기상상황에 따라 시민의 안전을 위해 행사가 중단되거나 취소될 수 있습니다. 우천, 강풍 등으로 인한 행사의 중단 및 취소 여부는 행사기간 중 서울의공원 누리집과 인스타그램 등을 통해 실시간으로 안내드릴 예정이오니, 방문하시기 전 확인하시기 바랍니다. 서울의공원 누리집 바로가기: 공원소식 > 새소식 (seoul.go.kr) 서울의공원 인스타그램 바로가기: ㅅㅓㅇㅜㄹㅇㅢ ㄱㅗㅇㅇㅝㄴ(@seoul_parks_official) • Instagram 사진 및 동영상  <핑크퐁과 함께하는 서울의 공원 대탐험(약칭: 핑크퐁 서울공원 대탐험) 행사개요>  ★ 행사 일정 안내① 보라매공원 : 10월 5일 ~ 10월 10일 ② 북서울꿈의숲 : 10월 12일 ~ 10월 16일 ③ 서울창포원 : 10월 18일 ~ 10월 23일 ④ 서울숲 : 10월 25일 ~ 10월 30일 ⑤ 영등포공원 : 11월 1일 ~ 11월 6일 -★ 행사 시간 : 매일 11시 ~ 17시★ 프로그램 & 이벤트 소개 <이벤트> -포토존 인증샷 이벤트- [현장 이벤트] 9M 대형 핑크퐁과 인증 사진을 찍고, 개인 SNS에 필수 해시태그와 함께 업로드하면 현장에서 핑크퐁 모자를 드려요!※ 핑크퐁 모자는 한정수량으로 종합 안내소에서 선착순 지급됩니다.[온라인 이벤트] 현장 이벤트 사진 중 추첨을 통해 10분께 행사 종료 후 아트키트 선물을 드려요! (5개 공원 모두 인증하면 당첨 확률 UP!) ※ 온라인 이벤트 결과는 개별 DM으로 안내드립니다.  <상시프로그램> -공원 스탬프 투어- 서울 공원 구석구석을 탐방해 보는 스탬프 미션! 미션을 모두 완수하면 특별한 선물을 드려요!1개 공원 성공 - 핑크퐁 막대풍선 ※ 핑크퐁 막대풍선은 한정수량으로 현장에서 선착순 지급됩니다. 5개 공원 성공 - 아트키트 (선착순 10명) ※ 해당 상품은 영등포공원 ‘공원 스탬프 투어’ 부스에서 선착순 지급됩니다   <주말프로그램> -내가 만드는 공원- 공원에 따라 달라지는 특화 체험! ·보라매공원: 보라매공원 비행기 키링 만들기 체험 ·북서울꿈의숲: 북서울꿈의숲을 담은 스크래치 보드 체험 ·서울창포원: 서울창포원에서 바라본 도봉산 풍경을 담은 스텐실 체험 ·서울숲: 서울숲 동물친구들과 함께하는 글라스데코 체험 ·영등포공원: 영등포공원 풍경을 담은 수채 페인팅 체험  -보물찾기 미션- 12/14시에 진행되는 깜짝 보물 찾기 시간! 보물을 찾아 퀴즈를 풀면 특별한 선물을 드려요.  -핑크퐁이랑 놀자- 하나! 핑크퐁 판박이 체험 둘! 핑크퐁 사탕 엽서 만들기 체험 셋! 핑크퐁 컬러링 체험  -핑크퐁과 튼튼쌤의 댄스파티- 핑크퐁, 아기상어, 튼튼쌤과 함께하는 신나는 핑크퐁 댄스파티 ※ 북서울꿈의숲, 서울숲에서만 주말 오후 4시에 진행됩니다. ※ 공연시간에는 ‘공원 스탬프 투어’, ‘포토존 인증샷 이벤트’만 운영됩니다."
2243,수도요금 전자계산서 발급 요청시,2022-11-28,121,27328170,다산콜센터,120다산콜재단,D0000046828355,요금제도과,환경,"민원인이 세무서 제출용(비용처리 등의 용도) 등으로 수도요금 관련 증빙자료 요청시 서울시는 법인세법 제121조 제1항 의거 영수증(수납내역서)을 발급하고 있음       법인세법 제121조 제1항“법인이 재화나 용역을 공급하면 대통령령으로 정하는 바에 따라 계산서나 영수증(이하“계산서등”이라 한다)을 작성하여 공급받는 자에게 발급하여야 한다. 이 경우 계산서는 대통령령으로 정하는 전자적 방법으로 작성한 계산서(이하 “전자계산서”라 한다)를 발급하여야 한다.      ※ 전자계산서 발급도 가능하나 신속한 업무처리를 위해 가능한 수납내역서를 지출증빙자료로 활용하도록 안내   ※ 처리부서: 수납내역서 발급(사업소 요금과), 전자계산서(사업소 행정지원과-지출담당)"
